Code,Name,Earnings Data,52 week Range,Est_Q1,Est_Q2,Est_Q3,Est_Q4,Act_Q1,Act_Q2,Act_Q3,Act_Q4,CSV File Path
DORM,Dorman Products  Inc.,Feb 15  2017 - Feb 20  ,51.12 - 81.98,0.67,0.72,0.81,0.76,0.73,0.75,0.77,0.83,../test/Nasdaq/DORM/DORM.csv,
BPFHW,Boston Private Financial Holdin,,,null,,
AMRK,A-Mark Precious Metals  Inc.,May 8  2017 - May 12  ,14.02 - 22.00,0.34,0.31,0.18,0.26,0.17,0.15,0.27,0.39,../test/Nasdaq/AMRK/AMRK.csv,
PRTS,U.S. Auto Parts Network  Inc.,Mar 6  2017 - Mar 10  ,2.40 - 4.49,0.02,0.01,N/A,0.01,0.03,0.02,N/A,-0.01,../test/Nasdaq/PRTS/PRTS.csv,
BLRX,BioLineRx Ltd.,,,null,,
SNAK,Inventure Foods  Inc.,Mar 1  2017 - Mar 6  ,4.75 - 10.15,-0.01,-0.06,N/A,0.03,-0.08,-0.05,-0.01,-0.13,../test/Nasdaq/SNAK/SNAK.csv,
KRMA,Global X Conscious Companies ET,,,null,,
BEAT,BioTelemetry  Inc.,Feb 15  2017 - Feb 20  ,10.96 - 27.30,0.1,0.17,0.18,0.18,0.2,0.2,0.21,0.23,../test/Nasdaq/BEAT/BEAT.csv,
CORT,Corcept Therapeutics Incorporat,May 1  2017 - May 5  ,3.85 - 10.73,0.01,0.01,0.01,0.04,N/A,0.01,0.02,0.04,../test/Nasdaq/CORT/CORT.csv,
KBSF,KBS Fashion Group Limited,,,null,,
RELV,Reliv International  Inc.,Mar 22  2017 - Mar 27  ,3.57 - 12.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/RELV/RELV.csv,
FAB,First Trust Multi Cap Value Alp,,,null,,
MPB,Mid Penn Bancorp,Apr 25  2017 - May 1  ,14.70 - 28.95,-1.23,0.1,0.19,0.19,-1.06,0.17,0.19,0.11,../test/Nasdaq/MPB/MPB.csv,
GRID,First Trust NASDAQ Clean Edge S,,,null,,
FBRC,FBR Co,,,null,,
PSC,Principal U.S. Small Cap Index,,,null,,
IRIX,IRIDEX Corporation,May 3  2017 - May 8  ,9.61 - 16.64,0.04,0.01,-0.03,N/A,0.01,-0.03,-0.07,-1.03,../test/Nasdaq/IRIX/IRIX.csv,
NAVG,The Navigators Group  Inc.,May 3  2017 - May 8  ,53.50 - 124.08,0.61,0.4,0.66,0.63,0.68,0.41,0.7,0.58,../test/Nasdaq/NAVG/NAVG.csv,
BCOR,Blucora  Inc.,Apr 26  2017 - May 1  ,4.69 - 16.70,0.9,0.52,-0.36,-0.27,0.94,0.55,-0.24,-0.18,../test/Nasdaq/BCOR/BCOR.csv,
KBAL,Kimball International  Inc.,May 3  2017 ,10.69 - 18.00,0.1,0.12,0.08,0.17,0.1,0.1,0.14,0.12,../test/Nasdaq/KBAL/KBAL.csv,
IRTC,iRhythm Technologies  Inc.,,,null,,
TECD,Tech Data Corporation,Mar 1  2017 - Mar 6  ,61.99 - 95.28,0.94,1.43,1.26,2.17,1.05,1.42,1.44,2.45,../test/Nasdaq/TECD/TECD.csv,
IBB,iShares Nasdaq Biotechnology In,,,null,,
RNET,RigNet  Inc.,Feb 27  2017 - Mar 3  ,10.86 - 23.90,0.05,-0.02,-0.1,-0.09,-0.08,-0.27,-0.16,-0.21,../test/Nasdaq/RNET/RNET.csv,
ANIP,ANI Pharmaceuticals  Inc.,Feb 21  2017 - Feb 27  ,30.15 - 70.92,0.64,0.77,1.08,1.09,0.76,1.11,1.09,0.84,../test/Nasdaq/ANIP/ANIP.csv,
MENT,Mentor Graphics Corporation,Mar 1  2017 - Mar 6  ,18.79 - 37.18,N/A,0.09,0.41,1.04,0.02,0.15,0.5,1.21,../test/Nasdaq/MENT/MENT.csv,
FWP,Forward Pharma A/S,Apr 10  2017 - Apr 14  ,12.45 - 33.00,-0.38,-0.27,-0.26,-0.35,-0.2,-0.36,-0.32,-0.23,../test/Nasdaq/FWP/FWP.csv,
BKCC,BlackRock Capital Investment Co,Mar 7  2017 - Mar 13  ,6.75 - 9.92,0.21,0.27,0.25,0.25,0.24,0.23,0.28,-0.03,../test/Nasdaq/BKCC/BKCC.csv,
PCOM,Points International  Ltd.,,,null,,
CMPR,Cimpress N.V,Apr 25  2017 - May 1  ,79.15 - 104.18,0.29,0.37,-0.19,1.17,-1.06,0.51,-0.92,1.07,../test/Nasdaq/CMPR/CMPR.csv,
FSZ,First Trust Switzerland AlphaDE,,,null,,
IKGH,Iao Kun Group Holding Company L,Dec 30  2016 - Jan 1  ,0.16 - 1.74,0.06,-0.09,-0.03,-0.04,0.06,-0.1,-0.05,-0.06,../test/Nasdaq/IKGH/IKGH.csv,
MICT,Micronet Enertec Technologies ,Apr 12  2017 - Apr 17  ,1.14 - 2.80,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MICT/MICT.csv,
APOP,Cellect Biotechnology Ltd.,,,null,,
MAGS,Magal Security Systems Ltd.,Mar 27  2017 - Mar 31  ,4.08 - 7.90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MAGS/MAGS.csv,
III,Information Services Group  Inc,May 8  2017 - May 12  ,3.02 - 4.32,0.05,0.05,0.06,0.08,0.03,-0.02,0.04,0.02,../test/Nasdaq/III/III.csv,
ARTNA,Artesian Resources Corporation,Nov 2  2016 - Nov 7  ,25.17 - 35.00,0.24,0.27,0.37,0.41,0.21,0.31,0.33,0.48,../test/Nasdaq/ARTNA/ARTNA.csv,
CHKE,Cherokee Inc.,Apr 12  2017 - Apr 17  ,7.90 - 18.65,0.13,0.39,0.2,-0.02,0.16,0.29,0.17,-0.1,../test/Nasdaq/CHKE/CHKE.csv,
GCBC,Greene County Bancorp  Inc.,Apr 20  2017 - Apr 24  ,15.40 - 25.20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GCBC/GCBC.csv,
FSFR,Fifth Street Senior Floating Ra,May 8  2017 - May 12  ,7.25 - 10.37,0.24,0.23,0.23,0.22,0.2,0.21,0.22,0.2,../test/Nasdaq/FSFR/FSFR.csv,
DIOD,Diodes Incorporated,May 3  2017 - May 8  ,16.75 - 27.17,0.09,0.2,0.28,0.15,0.12,0.2,0.3,0.15,../test/Nasdaq/DIOD/DIOD.csv,
CHKP,Check Point Software Technologi,Apr 18  2017 - Apr 24  ,74.34 - 101.77,1.03,1.07,1.08,1.25,1.06,1.09,1.13,1.46,../test/Nasdaq/CHKP/CHKP.csv,
MTGE,MTGE Investment Corp.,Apr 25  2017 - May 1  ,13.78 - 17.77,0.47,0.43,0.44,0.45,0.44,0.46,0.48,0.5,../test/Nasdaq/MTGE/MTGE.csv,
AMMA,Alliance MMA  Inc.,,,null,,
TQQQ,ProShares UltraPro QQQ,,,null,,
CPST,Capstone Turbine Corporation,Feb 1  2017 - Feb 6  ,0.66 - 2.70,-0.32,-0.19,-0.18,-0.24,-0.22,-0.17,-0.19,-0.31,../test/Nasdaq/CPST/CPST.csv,
RGEN,Repligen Corporation,Feb 23  2017 - Feb 27  ,21.11 - 34.06,0.1,0.13,0.08,0.07,0.12,0.16,0.08,0.08,../test/Nasdaq/RGEN/RGEN.csv,
PCYO,Pure Cycle Corporation,,,null,,
ANSS,ANSYS  Inc.,Feb 23  2017 - Feb 27  ,81.41 - 108.92,0.76,0.88,0.92,0.96,0.77,0.93,0.95,0.98,../test/Nasdaq/ANSS/ANSS.csv,
NH,NantHealth  Inc.,,,null,,
NAII,Natural Alternatives Internatio,May 8  2017 - May 12  ,8.57 - 14.50,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NAII/NAII.csv,
CETX,Cemtrex Inc.,May 15  2017 - May 19  ,1.84 - 8.41,0.2,0.15,0.15,0.13,0.1,0.16,0.23,0.14,../test/Nasdaq/CETX/CETX.csv,
NLST,Netlist  Inc.,Feb 27  2017 - Mar 3  ,0.91 - 2.19,-0.03,-0.02,-0.02,-0.09,-0.08,-0.03,-0.03,-0.08,../test/Nasdaq/NLST/NLST.csv,
CASM,CAS Medical Systems  Inc.,Mar 7  2017 - Mar 13  ,1.38 - 2.15,-0.07,-0.06,-0.05,-0.05,-0.08,-0.03,-0.08,-0.06,../test/Nasdaq/CASM/CASM.csv,
PRXL,PAREXEL International Corporati,Apr 25  2017 - May 1  ,51.16 - 72.32,0.9,0.93,0.86,0.84,0.89,0.94,0.71,0.85,../test/Nasdaq/PRXL/PRXL.csv,
UIHC,United Insurance Holdings Corp.,Apr 25  2017 - May 1  ,9.52 - 19.73,0.1,0.5,0.32,-0.39,0.14,0.45,0.16,-0.49,../test/Nasdaq/UIHC/UIHC.csv,
APWC,Asia Pacific Wire Cable Corpo,May 2  2017 - May 8  ,1.54 - 3.10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/APWC/APWC.csv,
HBHCL,Hancock Holding Company,,,null,,
CERN,Cerner Corporation,May 3  2017 - May 8  ,47.01 - 67.50,0.53,0.57,0.6,0.61,0.53,0.58,0.59,0.61,../test/Nasdaq/CERN/CERN.csv,
DGLY,Digital Ally  Inc.,Mar 6  2017 - Mar 10  ,3.51 - 7.23,-0.18,-0.23,-0.2,-0.23,-0.53,-0.44,-0.54,-0.61,../test/Nasdaq/DGLY/DGLY.csv,
CTIC,CTI BioPharma Corp.,Feb 17  2017 - Feb 20  ,0.31 - 6.48,-0.4,-0.95,-0.7,-0.6,0.1,-0.7,-1,-0.23,../test/Nasdaq/CTIC/CTIC.csv,
SNGX,SOLIGENIX  INC.,Nov 10  2016 - Nov 14  ,1.90 - 9.00,-0.8,-0.6,-0.6,-0.5,1,-0.6,-0.2,-0.49,../test/Nasdaq/SNGX/SNGX.csv,
DMTX,Dimension Therapeutics  Inc.,Mar 22  2017 - Mar 27  ,1.65 - 10.47,-0.38,-0.57,-0.43,-0.55,-0.45,-0.38,-0.49,-0.58,../test/Nasdaq/DMTX/DMTX.csv,
ATRC,AtriCure  Inc.,Feb 21  2017 - Feb 27  ,13.44 - 20.40,-0.32,-0.3,-0.28,-0.31,-0.31,-0.26,-0.21,-0.27,../test/Nasdaq/ATRC/ATRC.csv,
MIIIW,M III Acquisition Corp.,,,null,,
FHCO,Female Health Company (The),Apr 26  2017 - May 1  ,0.72 - 2.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FHCO/FHCO.csv,
NAKD,NAKED BRAND GRP  INC,,,null,,
PAGG,PowerShares Global Agriculture,,,null,,
CPRT,Copart  Inc.,Feb 21  2017 - Feb 27  ,39.86 - 61.04,0.54,0.55,0.55,0.57,0.64,0.62,0.57,0.58,../test/Nasdaq/CPRT/CPRT.csv,
DFVS,Barclays PLC,,,null,,
LPTH,LightPath Technologies  Inc.,May 3  2017 - May 6  ,1.21 - 2.56,0.02,0.02,0.02,0.02,0.04,0.02,0.01,0.06,../test/Nasdaq/LPTH/LPTH.csv,
PLUG,Plug Power  Inc.,Mar 6  2017 - Mar 16  ,0.83 - 2.28,-0.05,-0.06,-0.06,-0.05,-0.05,-0.07,-0.07,-0.07,../test/Nasdaq/PLUG/PLUG.csv,
HALO,Halozyme Therapeutics  Inc.,Feb 27  2017 - Mar 3  ,7.52 - 14.38,-0.2,-0.27,-0.27,-0.28,-0.16,-0.21,-0.23,-0.21,../test/Nasdaq/HALO/HALO.csv,
AXGN,AxoGen  Inc.,May 2  2017 - May 8  ,4.90 - 11.25,-0.12,-0.12,-0.08,-0.09,-0.12,-0.09,-0.08,-0.1,../test/Nasdaq/AXGN/AXGN.csv,
ADI,Analog Devices  Inc.,May 16  2017 - May 22  ,52.17 - 84.24,0.62,0.76,0.89,0.74,0.64,0.82,1.05,0.94,../test/Nasdaq/ADI/ADI.csv,
SND,Smart Sand  Inc.,,,null,,
TSC,TriState Capital Holdings  Inc.,Apr 18  2017 - Apr 24  ,11.65 - 24.90,0.21,0.22,0.24,0.24,0.21,0.24,0.3,0.28,../test/Nasdaq/TSC/TSC.csv,
ENT,Global Eagle Entertainment Inc.,Mar 1  2017 - Mar 6  ,4.00 - 9.85,0.01,N/A,-0.02,0.01,-0.06,-0.03,-0.49,0.23,../test/Nasdaq/ENT/ENT.csv,
AFMD,Affimed N.V.,Mar 28  2017 - Apr 3  ,1.65 - 5.00,-0.18,-0.18,-0.21,-0.25,-0.2,-0.26,-0.25,-0.33,../test/Nasdaq/AFMD/AFMD.csv,
ANAB,AnaptysBio  Inc.,,,null,,
SGEN,Seattle Genetics  Inc.,Apr 26  2017 - May 1  ,31.23 - 75.36,-0.09,-0.32,-0.29,-0.34,-0.15,-0.23,-0.23,-0.39,../test/Nasdaq/SGEN/SGEN.csv,
GPIA,GP Investments Acquisition Corp,,,null,,
GIGM,GigaMedia Limited,Mar 22  2017 - Mar 27  ,2.31 - 3.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/GIGM/GIGM.csv,
TCBI,Texas Capital Bancshares  Inc.,Apr 18  2017 - Apr 24  ,34.54 - 93.35,0.67,0.77,0.86,0.89,0.49,0.78,0.87,0.96,../test/Nasdaq/TCBI/TCBI.csv,
MDIV,First Trust Multi-Asset Diversi,,,null,,
NETE,Net Element  Inc.,Mar 29  2017 - Apr 3  ,0.70 - 4.60,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NETE/NETE.csv,
ESCA,Escalade  Incorporated,Feb 21  2017 - Feb 27  ,9.70 - 14.70,0.14,0.15,0.21,0.19,0.12,0.15,0.3,0.24,../test/Nasdaq/ESCA/ESCA.csv,
PRGX,PRGX Global  Inc.,Feb 27  2017 - Mar 3  ,4.25 - 6.59,-0.08,0.06,0.03,0.06,-0.02,-0.03,0.11,-0.01,../test/Nasdaq/PRGX/PRGX.csv,
FTRPR,Frontier Communications Corpora,,,null,,
CFFN,Capitol Federal Financial  Inc.,Apr 26  2017 - May 1  ,12.70 - 17.04,0.15,0.15,0.15,0.16,0.16,0.15,0.16,0.15,../test/Nasdaq/CFFN/CFFN.csv,
SCWX,SecureWorks Corp.,Dec 5  2016 - Dec 9  ,10.15 - 16.23,N/A,-0.13,-0.08,-0.08,N/A,-0.09,-0.07,-0.02,../test/Nasdaq/SCWX/SCWX.csv,
GSBC,Great Southern Bancorp  Inc.,Apr 18  2017 - Apr 24  ,34.48 - 56.70,0.77,0.8,0.81,0.77,0.7,0.89,0.8,0.83,../test/Nasdaq/GSBC/GSBC.csv,
RTRX,Retrophin  Inc.,May 1  2017 - May 5  ,11.60 - 24.57,-0.22,-0.23,0.38,-0.26,0.31,-0.37,-1,-0.23,../test/Nasdaq/RTRX/RTRX.csv,
LLNW,Limelight Networks  Inc.,Apr 25  2017 - May 1  ,1.17 - 2.90,-0.01,-0.01,N/A,0.01,-0.01,0.01,N/A,0.02,../test/Nasdaq/LLNW/LLNW.csv,
MNTX,Manitex International  Inc.,Mar 8  2017 - Mar 13  ,4.75 - 9.89,-0.01,0.02,-0.07,-0.06,0.02,0.02,0.05,0.02,../test/Nasdaq/MNTX/MNTX.csv,
BIVV,Bioverativ Inc.,,,null,,
FITS,The Health and Fitness ETF,,,null,,
ALGT,Allegiant Travel Company,Apr 25  2017 - May 1  ,121.70 - 183.91,4.28,3.55,2.66,2.4,4.29,3.68,2.75,2.48,../test/Nasdaq/ALGT/ALGT.csv,
HTBX,Heat Biologics  Inc.,Oct 31  2016 - Nov 1  ,0.40 - 3.35,-0.64,-0.56,-0.27,-0.15,-0.78,-0.5,-0.17,-0.08,../test/Nasdaq/HTBX/HTBX.csv,
GNVC,GenVec  Inc.,Mar 7  2017 - Mar 13  ,0.27 - 10.44,-0.8,-0.9,-0.95,-0.75,-1,-1.1,-0.6,-0.5,../test/Nasdaq/GNVC/GNVC.csv,
CMLS,Cumulus Media Inc.,,,null,,
UAE,iShares MSCI UAE Capped ETF,,,null,,
SHIPW,Seanergy Maritime Holdings Corp,,,null,,
ELECW,Electrum Special Acquisition Co,,,null,,
SYRX,Sysorex Global,,,null,,
HOTRW,Chanticleer Holdings  Inc.,,,null,,
EFAS,Global X MSCI SuperDividend EAF,,,null,,
NEOS,Neos Therapeutics  Inc.,Mar 15  2017 - Mar 20  ,4.85 - 11.50,-0.66,-0.86,-1.37,-1.64,-0.57,-0.79,-1.65,-1.61,../test/Nasdaq/NEOS/NEOS.csv,
UVSP,Univest Corporation of Pennsylv,Oct 28  2016 - Oct 31  ,18.81 - 31.50,0.4,0.35,0.41,0.36,0.37,0.33,0.35,0.31,../test/Nasdaq/UVSP/UVSP.csv,
NNDM,Nano Dimension Ltd.,,,null,,
FOANC,Gabelli NextShares Trust,,,null,,
CDEV,Centennial Resource Development,,,null,,
NVLN,Novelion Therapeutics Inc.,,,null,,
LKOR,FlexShares Credit-Scored US Lon,,,null,,
GLRE,Greenlight Reinsurance  Ltd.,Feb 20  2017 - Feb 24  ,18.79 - 24.10,0.81,-1.09,0.92,1.52,0.77,-1.69,0.8,1.31,../test/Nasdaq/GLRE/GLRE.csv,
EDIT,Editas Medicine  Inc.,Mar 28  2017 - Apr 3  ,12.43 - 43.50,-0.28,-0.54,-0.64,-0.62,-0.8,-0.54,-0.59,-1.1,../test/Nasdaq/EDIT/EDIT.csv,
CMCSA,Comcast Corporation,Apr 25  2017 - May 1  ,29.25 - 38.44,0.4,0.4,0.46,0.43,0.44,0.42,0.46,0.45,../test/Nasdaq/CMCSA/CMCSA.csv,
GPIAU,GP Investments Acquisition Corp,,,null,,
IEUS,iShares MSCI Europe Small-Cap E,,,null,,
EGHT,8x8 Inc,May 17  2017 - May 22  ,9.01 - 16.80,0.02,0.03,0.03,0.04,0.03,0.06,0.06,0.06,../test/Nasdaq/EGHT/EGHT.csv,
PLKI,Popeyes Louisiana Kitchen  Inc.,Feb 21  2017 - Feb 27  ,49.11 - 79.16,0.64,0.47,0.53,0.47,0.58,0.47,0.59,0.48,../test/Nasdaq/PLKI/PLKI.csv,
SCYX,SCYNEXIS  Inc.,Mar 6  2017 - Mar 10  ,1.74 - 5.51,-0.57,-0.63,-0.52,-0.5,-0.59,-0.52,-0.56,-0.48,../test/Nasdaq/SCYX/SCYX.csv,
LLTC,Linear Technology Corporation,Apr 17  2017 - Apr 21  ,43.04 - 65.76,0.5,0.54,0.55,0.53,0.52,0.54,0.53,0.54,../test/Nasdaq/LLTC/LLTC.csv,
EGOV,NIC Inc.,May 1  2017 - May 5  ,16.51 - 25.90,0.15,0.18,0.18,0.15,0.19,0.2,0.24,0.2,../test/Nasdaq/EGOV/EGOV.csv,
LOXO,Loxo Oncology  Inc.,Mar 13  2017 - Mar 17  ,16.50 - 47.46,-0.69,-0.63,-0.74,-0.85,-0.59,-0.77,-0.82,-1.27,../test/Nasdaq/LOXO/LOXO.csv,
CPAA,Conyers Park Acquisition Corp.,,,null,,
APOG,Apogee Enterprises  Inc.,Apr 12  2017 ,39.48 - 61.00,0.64,0.49,0.67,0.77,0.69,0.61,0.77,0.78,../test/Nasdaq/APOG/APOG.csv,
DERM,Dermira  Inc.,Mar 1  2017 - Mar 6  ,17.42 - 38.75,-0.94,-0.86,-0.72,-0.8,-0.95,-0.89,-0.72,-0.21,../test/Nasdaq/DERM/DERM.csv,
EGBN,Eagle Bancorp  Inc.,Apr 18  2017 - Apr 24  ,44.55 - 64.94,0.65,0.67,0.69,0.71,0.68,0.71,0.72,0.75,../test/Nasdaq/EGBN/EGBN.csv,
IPCC,Infinity Property and Casualty,Feb 23  2017 - Feb 27  ,73.80 - 99.55,1.1,0.76,1,0.69,0.68,1,0.17,1.84,../test/Nasdaq/IPCC/IPCC.csv,
PGTI,PGT Innovations  Inc.,May 3  2017 - May 8  ,8.83 - 12.49,0.08,0.15,0.18,0.1,0.09,0.15,0.19,0.1,../test/Nasdaq/PGTI/PGTI.csv,
TTEK,Tetra Tech  Inc.,Apr 25  2017 - May 1  ,27.84 - 44.85,0.35,0.5,0.6,0.47,0.37,0.5,0.59,0.49,../test/Nasdaq/TTEK/TTEK.csv,
OFIX,Orthofix International N.V.,Feb 27  2017 - Mar 3  ,32.51 - 48.25,0.15,0.33,0.31,0.37,0.28,0.41,0.36,0.42,../test/Nasdaq/OFIX/OFIX.csv,
AAAP,Advanced Accelerator Applicatio,Apr 27  2017 - May 1  ,23.50 - 39.61,-0.07,-0.15,-0.09,-0.11,-0.09,-0.08,-0.04,-0.17,../test/Nasdaq/AAAP/AAAP.csv,
ONSIZ,Oncobiologics  Inc.,,,null,,
LAUR,Laureate Education  Inc.,,,null,,
SNC,State National Companies  Inc.,,,null,,
PCH,Potlatch Corporation,Apr 24  2017 - Apr 28  ,35.38 - 45.50,-0.01,0.06,0.64,0.31,N/A,0.13,0.68,0.35,../test/Nasdaq/PCH/PCH.csv,
LWAY,Lifeway Foods  Inc.,Mar 13  2017 - Mar 17  ,8.68 - 18.48,0.05,0.09,0.04,0.09,0.02,0.06,0.13,N/A,../test/Nasdaq/LWAY/LWAY.csv,
CHMG,Chemung Financial Corp,Apr 19  2017 - Apr 24  ,26.05 - 39.49,0.5,0.5,0.56,0.53,0.45,0.55,0.57,0.62,../test/Nasdaq/CHMG/CHMG.csv,
AGIIL,Argo Group International Holdin,,,null,,
FOSL,Fossil Group  Inc.,May 8  2017 - May 12  ,16.67 - 50.57,0.15,0.09,0.31,1.18,0.12,0.12,0.43,1.03,../test/Nasdaq/FOSL/FOSL.csv,
FH,FORM Holdings Corp.,Mar 15  2017 - Mar 20  ,1.55 - 4.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/FH/FH.csv,
MTP,Midatech Pharma PLC,,,null,,
USCR,U S Concrete  Inc.,Mar 1  2017 - Mar 6  ,42.82 - 70.40,0.22,0.95,1.31,0.7,0.31,0.54,1.19,0.82,../test/Nasdaq/USCR/USCR.csv,
CWAY,Coastway Bancorp  Inc.,,,null,,
ORRF,Orrstown Financial Services Inc,Apr 26  2017 - May 1  ,16.95 - 23.75,0.17,0.21,0.23,0.21,0.32,0.08,0.18,0.24,../test/Nasdaq/ORRF/ORRF.csv,
ULTI,The Ultimate Software Group  In,Apr 24  2017 - Apr 28  ,173.85 - 224.07,0.66,0.76,0.77,0.95,0.73,0.76,0.78,0.91,../test/Nasdaq/ULTI/ULTI.csv,
AVXL,ANAVEX LIFE SCIENCES,,,null,,
PXS,Pyxis Tankers Inc.,Mar 21  2017 - Mar 27  ,1.35 - 4.27,N/A,N/A,N/A,-0.05,N/A,N/A,N/A,-0.1,../test/Nasdaq/PXS/PXS.csv,
MKSI,MKS Instruments  Inc.,Apr 24  2017 - Apr 28  ,34.09 - 68.85,0.33,0.48,0.77,1,0.38,0.72,0.88,1.05,../test/Nasdaq/MKSI/MKSI.csv,
PDVW,pdvWireless  Inc.,Feb 14  2017 - Feb 20  ,18.60 - 43.04,-0.38,-0.29,-0.5,-0.35,-0.47,-0.7,-0.54,-0.51,../test/Nasdaq/PDVW/PDVW.csv,
ILG,ILG  Inc,Feb 23  2017 - Feb 27  ,15.94 - 19.70,0.4,0.24,0.26,0.37,0.41,0.36,0.39,0.48,../test/Nasdaq/ILG/ILG.csv,
PPSI,Pioneer Power Solutions  Inc.,Mar 27  2017 - Mar 31  ,3.68 - 9.40,0.13,0.11,0.11,0.16,0.16,0.11,0.08,0.1,../test/Nasdaq/PPSI/PPSI.csv,
ACTG,Acacia Research Corporation,Feb 23  2017 - Feb 27  ,3.41 - 7.68,0.11,0.04,0.03,0.06,0.09,0.05,0.23,0.31,../test/Nasdaq/ACTG/ACTG.csv,
FXCM,GLOBAL BROKERAGE INC,,,null,,
ITUS,ITUS CORPORATION,,,null,,
PRCP,Perceptron  Inc.,May 8  2017 - May 12  ,4.18 - 8.87,-0.28,-0.04,-0.02,-0.06,-0.03,0.11,-0.13,0.27,../test/Nasdaq/PRCP/PRCP.csv,
DRNA,Dicerna Pharmaceuticals  Inc.,Mar 8  2017 - Mar 13  ,2.42 - 6.10,-0.84,-0.86,-0.84,-0.85,-0.76,-0.76,-0.75,-0.68,../test/Nasdaq/DRNA/DRNA.csv,
ICHR,Ichor Holdings,,,null,,
USLB,PowerShares Russell 1000 Low Be,,,null,,
SUPN,Supernus Pharmaceuticals  Inc.,Feb 28  2017 - Mar 6  ,13.42 - 30.37,0.09,0.13,0.34,0.25,0.08,0.18,1.18,0.26,../test/Nasdaq/SUPN/SUPN.csv,
HAWK,Blackhawk Network Holdings  Inc,Apr 24  2017 - Apr 28  ,28.88 - 39.30,0.32,0.24,0.09,1.1,0.17,0.13,0.14,1,../test/Nasdaq/HAWK/HAWK.csv,
EXA,Exa Corporation,Mar 8  2017 - Mar 13  ,10.95 - 16.89,-0.12,-0.08,-0.06,-0.01,-0.06,-0.04,-0.02,0.04,../test/Nasdaq/EXA/EXA.csv,
CTRN,Citi Trends  Inc.,Mar 10  2017 ,14.01 - 22.73,0.31,0.76,-0.06,0.03,0.24,0.6,-0.01,-0.06,../test/Nasdaq/CTRN/CTRN.csv,
ERIC,Ericsson,,,null,,
NSYS,Nortech Systems Incorporated,Mar 7  2017 - Mar 13  ,1.69 - 5.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/NSYS/NSYS.csv,
PBCT,People s United Financial  Inc.,Apr 19  2017 - Apr 24  ,13.80 - 20.13,0.21,0.22,0.23,0.24,0.21,0.23,0.24,0.24,../test/Nasdaq/PBCT/PBCT.csv,
AKAO,Achaogen  Inc.,Mar 13  2017 - Mar 17  ,2.59 - 27.28,-0.58,-0.6,-0.67,-0.61,-0.61,-0.66,-0.87,-0.41,../test/Nasdaq/AKAO/AKAO.csv,
CHUBK,CommerceHub  Inc.,,,null,,
MPWR,Monolithic Power Systems  Inc.,May 1  2017 - May 5  ,58.74 - 91.76,0.44,0.54,0.65,0.63,0.45,0.54,0.66,0.65,../test/Nasdaq/MPWR/MPWR.csv,
NOVT,Novanta Inc.,Feb 28  2017 - Mar 6  ,14.40 - 26.70,0.18,0.24,0.27,0.28,0.18,0.27,0.29,0.35,../test/Nasdaq/NOVT/NOVT.csv,
BMTC,Bryn Mawr Bank Corporation,Apr 26  2017 - May 1  ,24.70 - 42.60,0.47,0.51,0.53,0.54,0.49,0.53,0.55,0.55,../test/Nasdaq/BMTC/BMTC.csv,
HCSG,Healthcare Services Group  Inc.,Apr 10  2017 - Apr 17  ,34.51 - 42.62,0.26,0.26,0.27,0.28,0.26,0.26,0.27,0.28,../test/Nasdaq/HCSG/HCSG.csv,
PCLN,The Priceline Group Inc.,Feb 15  2017 - Feb 20  ,1 148.06 - 1 759.17,9.66,12.69,29.91,13.01,9.2,12.59,29.69,14.21,../test/Nasdaq/PCLN/PCLN.csv,
MFIN,MEDICAL FINANCE INC.,Feb 17  2017 - Feb 20  ,1.60 - 10.00,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/MFIN/MFIN.csv,
SORL,SORL Auto Parts  Inc.,Mar 29  2017 - Apr 3  ,1.50 - 5.05,0.2,0.14,0.18,0.16,0.31,0.02,0.37,0.17,../test/Nasdaq/SORL/SORL.csv,
OVLY,Oak Valley Bancorp (CA),Apr 19  2017 - Apr 24  ,9.27 - 15.28,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,../test/Nasdaq/OVLY/OVLY.csv,
BBBY,Bed Bath Beyond Inc.,Apr 5  2017 ,38.58 - 52.33,1.81,0.86,1.16,0.98,1.91,0.8,1.11,0.85,../test/Nasdaq/BBBY/BBBY.csv,
